jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
iOS Engineer (Poe),Quora,194813.5,2025-04-30 09:34:43,Europe,Engineering,Other
Senior Designer - Web,Kraken,170918.59999999998,2025-04-27 04:08:24,Europe,Design,Senior
Sr. UX Designer,Canonical,170918.59999999998,2025-04-26 04:50:07,Europe,UX,Senior
Software Engineer - Rust - Backend,Kraken,170918.59999999998,2025-04-25 15:42:06,Europe,Engineering,Other
Digital Content Manager,COMPLY,92500.0,2025-05-14 05:14:49,North America,Management,Other
GPU Solutions Engineer,Vultr,145000.0,2025-05-14 04:35:39,North America,Engineering,Other
Director of Product Management,Crunchtime,133630.0,2025-05-14 04:35:14,North America,Management,Other
Account Executive,UpKeep,82500.0,2025-05-14 04:28:48,North America,Other,Other
Sales Development Representative,UpKeep,52500.0,2025-05-14 04:28:12,North America,Other,Other
Intermediate Support Engineer (US Federal),GitLab,114400.0,2025-05-14 03:59:56,North America,Engineering,Mid
Senior Learning Designer,Pinterest,181301.0,2025-05-14 03:56:06,North America,Design,Senior
Sr. Product Support Specialist,Pinterest,116688.0,2025-05-14 03:55:58,North America,Product,Senior
Lead Interoperability Engineer,Innovaccer,133630.0,2025-05-14 03:46:18,North America,Engineering,Lead
Strategic Sales Director (West),Cresta,140000.0,2025-05-13 05:15:43,North America,Management,Other
Brand Designer,Cresta,133630.0,2025-05-13 05:15:10,North America,Design,Other
Commercial Account Manager,Wolfram,65000.0,2025-05-13 05:14:06,North America,Management,Other
Sales Recruiter,Figma,173000.0,2025-05-13 05:12:58,North America,Other,Other
Engineering Manager - Fullstack,Givebutter,177500.0,2025-05-13 05:10:10,North America,Engineering,Other
Technical Consultant - PST,PerfectServe,133630.0,2025-05-13 03:22:09,North America,Other,Other
Customer Success Manager - Advertising,Nielsen,121500.0,2025-05-13 03:19:46,North America,Management,Other
Retail Sales Analytics Manager,Life360,138000.0,2025-05-13 03:12:23,North America,Data,Other
Onboarding Consultant,Ascensus,133630.0,2025-05-13 03:05:41,North America,Other,Other
Talent Management Generalist,GoHealth Urgent Care,133630.0,2025-05-12 05:00:04,North America,Other,Other
Social Media Specialist,GoHealth Urgent Care,133630.0,2025-05-12 04:58:17,North America,Other,Other
Customer Success Consultant,Lumen Technologies,86688.0,2025-05-12 04:52:28,North America,Other,Other
"Account Executive, Public Sector",Alteryx,152500.0,2025-05-12 04:49:49,North America,Management,Other
Technical Account Manager,Alteryx,106350.0,2025-05-12 04:49:42,North America,Management,Other
Account Executive (Enterprise),Figma,145000.0,2025-05-12 04:46:05,North America,Other,Other
Customer Success Manager (Direct),Axon,75200.0,2025-05-11 19:37:18,North America,Management,Other
Account Executive,Boulevard,70000.0,2025-05-11 19:28:54,North America,Other,Other
Sales Account Executive - Home Service,Scorpion,69500.0,2025-05-11 19:25:28,North America,Other,Other
Senior Loan Officer,RenoFi,133630.0,2025-05-11 19:23:38,North America,Other,Senior
Cloud Infrastructure Engineer,AccuWeather,133630.0,2025-05-11 19:23:38,North America,Engineering,Other
Senior Software Engineer,Zendesk,181000.0,2025-05-10 05:46:04,North America,Engineering,Senior
Senior Account Executive,TeamSnap,164725.0,2025-05-10 05:01:18,North America,Other,Senior
Full-Stack Software Engineer,Amount,160000.0,2025-05-10 04:55:34,North America,Engineering,Other
Senior Risk Analytics Engineer,Pipe,134000.0,2025-05-09 20:31:36,North America,Engineering,Senior
Customer Service Representative,PNC,46900.0,2025-05-09 06:55:06,North America,Other,Other
Front End Engineer,Peerspace,140000.0,2025-05-09 05:39:28,North America,Engineering,Other
Staff Data Analyst,Headspace,164257.0,2025-05-09 05:38:57,North America,Data,Other
"Senior Account Executive, Food and Beverage",Target,179500.0,2025-05-09 05:37:47,North America,Other,Senior
Enterprise Sales Executive,Calm,266725.0,2025-05-09 05:34:03,North America,Other,Other
Campaigns Marketing Manager,Pearson,164465.0,2025-05-12 04:46:13,Other,Data,Other
Senior Database Administrator,Kraken,165000.0,2025-05-09 05:26:20,Other,Other,Senior
Regional HR Manager - APAC,Canonical,164465.0,2025-04-24 03:20:54,Other,Management,Other
Technical Support Engineer - South Asia,CertiK,164465.0,2025-04-23 04:31:20,Other,Engineering,Other
"Copywriter, Health",WebFX,164465.0,2025-04-22 04:31:59,Other,Other,Other
Customer Success Manager,Chainlink Labs,164465.0,2025-04-18 15:13:00,Other,Management,Other
Fullstack Developer (UI),Paymentology,164465.0,2025-04-15 04:33:15,Other,Engineering,Other
AI Filmmaker,Bitfinex,164465.0,2025-04-15 04:16:23,Other,Data,Other
Senior Data Engineer,Hatch,169830.0,2025-05-12 14:50:38,North America,Data,Senior
Sr. Software Engineer in Test,Blackpoint,169830.0,2025-05-12 14:50:32,North America,Engineering,Senior
Blockchain Security Engineer,Coinbase Careers Page,165852.5,2025-05-12 14:50:18,North America,Data,Other
Machine Learning Engineer,Floy,51290.08333333333,2025-05-11 06:50:34,Other,Data,Other
Data Scientist (AI/ML Engineer),N Consulting Ltd,66.5,2025-05-11 02:50:06,Europe,Data,Other
Software Engineer - AI Evals and Test,P 1ai,114350.83333333331,2025-05-11 00:50:10,Remote,Data,Other
Software Engineer - Engineering Data Infrastructure,P 1ai,114350.83333333331,2025-05-10 22:50:09,Remote,Engineering,Other
Senior Endpoint Security Engineer,Clover Health,147500.0,2025-05-09 20:50:35,North America,Engineering,Senior
Mortgage Application System Developer,Summitfunding,63.745000000000005,2025-05-09 12:50:00,North America,Engineering,Other
Data Engineer,Runway,245000.0,2025-05-09 04:50:47,Remote,Data,Other
Sr. Software Engineer,Lyra Health,169830.0,2025-05-09 02:50:14,North America,Engineering,Senior
Software Engineer II,RegScale,149384.7,2025-05-08 20:50:13,North America,Engineering,Other
Senior Fullstack Engineer Community Support Engineering,Airbnb,200000.0,2025-05-08 10:50:22,North America,Engineering,Senior
Senior Backend Engineer,Thaloz,51288.75,2025-05-08 06:50:35,Other,Engineering,Senior
Senior Software Engineer,Shippo,168250.0,2025-05-08 00:51:02,North America,Engineering,Senior
Senior Software Engineer - Data,Count,67.73333333333333,2025-05-07 18:51:05,Remote,Engineering,Senior
Sr./Staff Backend Software Engineer,Fireworkhq,182500.0,2025-05-07 16:50:45,North America,Engineering,Senior
Sr. Software Engineer,G-P,67.73333333333333,2025-05-07 06:50:10,Asia,Engineering,Senior
Javascript Engineer,Constructor,100000.0,2025-05-07 00:50:54,Other,Engineering,Other
Front-End Engineer,Equilibrium Energy,67.73333333333333,2025-05-06 20:51:05,Remote,Engineering,Other
Senior React Full-stack Developer,Lemon.io,67.73333333333333,2025-05-06 13:41:54,Remote,Engineering,Senior
Data Engineer,Zeelo,49051.23333333334,2025-05-05 22:50:50,Europe,Data,Other
System Architect,Addepto,63.15,2025-05-05 12:50:50,Europe,Other,Other
Senior Software Engineer | Detection Infrastructure,ExtraHop,165000.0,2025-05-05 08:50:05,North America,Engineering,Senior
Software Engineer II/Senior Software Engineer,Iambic Therapeutics,169830.0,2025-05-05 04:50:56,North America,Engineering,Senior
Quantitative Trader,Botnet,5050.0,2025-05-04 22:50:17,Remote,Other,Other
ML & Data Engineer,CommentSold,67.73333333333333,2025-05-04 10:50:39,Asia,Data,Other
Solutions Engineer,Allium,51290.08333333333,2025-05-04 06:51:06,Other,Engineering,Other
Engineering Director,OpenX,169830.0,2025-05-03 22:50:58,North America,Management,Other
Senior Machine Learning Systems Engineer,tvScientific,190000.0,2025-05-03 20:50:24,North America,Data,Senior
Senior Software Engineer - Artificial Intelligence,Rithum,4407.733333333334,2025-05-03 20:50:24,Europe,Engineering,Senior
Senior Data Engineer,silver,67.73333333333333,2025-05-03 08:51:03,Latam,Data,Senior
Junior Data Engineer,Addepto,63.15,2025-05-01 20:50:46,Europe,Data,Junior
Principal Architect,Affinity.co,250000.0,2025-05-01 16:51:03,North America,Other,Lead
AI Solutions Specialist,Phoenix Software,67.73333333333333,2025-05-01 04:51:05,Europe,Data,Other
Full-Stack Software Engineer,Gradient AI,51290.08333333333,2025-04-30 18:50:13,Other,Engineering,Other
"Data Scientist, Assortment Planning",Literati,175000.0,2025-04-29 16:50:01,North America,Data,Other
AI Engineer,Persist Ventures,67.73333333333333,2025-04-28 20:50:06,Asia,Data,Other
Data Science Engineer,Pager Health,132000.0,2025-04-28 04:50:08,North America,Data,Other
Data Science / Machine Learning Engineer Intern,Demandbase,33064.274,2025-04-27 14:50:14,North America,Data,Intern
Principal AI/Machine Learning Engineer,Skillsoft,67.73333333333333,2025-04-27 08:50:08,Europe,Data,Lead
Staff AI API Engineer,SentinelOne,202400.0,2025-04-26 20:50:24,North America,Data,Other
Staff Infrastructure Engineer,Sotheby's,67.73333333333333,2025-04-26 12:51:12,Europe,Engineering,Other
Senior Backend Engineer,Cow Dao,66.4,2025-04-26 06:51:06,Europe,Engineering,Senior
SOC Deployment Engineer,Phoenix Software,67.73333333333333,2025-04-26 06:51:03,Europe,Engineering,Other
Staff Machine Learning Engineer,Base.org Careers Page,237262.5,2025-04-25 18:50:16,North America,Data,Other
Staff AI Security Engineer,SentinelOne,191300.0,2025-04-25 12:51:09,North America,Data,Other
Senior Database Architect,DaCodes,302.7333333333333,2025-04-25 02:50:23,Latam,Other,Senior
Staff Security Engineer,Inovalon,151800.0,2025-04-24 16:50:19,North America,Engineering,Other
Fullstack Engineer,Gofasti,2400.0,2025-04-24 12:50:57,Latam,Engineering,Other
"Senior Flight Dynamics Engineer, Orbits R&D",Planet,158300.0,2025-04-24 06:50:23,North America,Other,Senior
(Senior) Backend Engineer,TeleClinic GmbH,72.78333333333333,2025-04-24 04:50:22,Europe,Engineering,Senior
Software Engineering Manager,Vannevar Labs,146800.33333333334,2025-04-23 20:51:09,North America,Engineering,Other
Senior Software Engineer,Upstart,195000.0,2025-04-23 08:50:56,North America,Engineering,Senior
Senior Software Engineer,People.ai,15310.666666666666,2025-04-23 04:51:00,Europe,Engineering,Senior
Senior Client Platform Engineer,Ramp,169830.0,2025-04-22 18:51:03,North America,Engineering,Senior
"Staff Infrastructure Engineer, Cloud Data Store",Temporal Technologies,210000.0,2025-04-22 10:50:13,North America,Data,Other
AI Specialist,ConnectOS,6003.833333333334,2025-04-22 02:51:03,Asia,Data,Other
Senior Backend Engineer,Volatus Health,100.0,2025-04-21 21:15:49,Other,Engineering,Senior
Mid Level Full Stack Web Developer,Backblaze,67.73333333333333,2025-04-21 16:50:58,Remote,Engineering,Mid
"Senior/Staff Software Engineer, Development Tools",Waabi,198022.5,2025-04-21 02:50:47,Remote,Engineering,Senior
Senior Machine Learning Engineer,Paradigm Health,169830.0,2025-04-21 02:50:47,North America,Data,Senior
Full Stack Developer,Shortpoint,67.73333333333333,2025-04-20 08:50:13,Africa,Engineering,Other
